subspace_id,branch_label,branch_name,x_mm,y_mm,z_mm
19,0,shoulder_negative|elbow_low|wrist_negative,403.89031982421875,609.7318115234375,377.5458984375
19,0,shoulder_negative|elbow_low|wrist_negative,-328.97198486328125,154.20924377441406,750.6268920898438
19,0,shoulder_negative|elbow_low|wrist_negative,240.109375,404.9495849609375,660.113037109375
19,0,shoulder_negative|elbow_low|wrist_negative,37.43111038208008,9.040237426757812,1090.556396484375
19,0,shoulder_negative|elbow_low|wrist_negative,-100.80026245117188,-58.69945526123047,1047.403076171875
19,0,shoulder_negative|elbow_low|wrist_negative,506.26708984375,328.4735107421875,526.0301513671875
19,0,shoulder_negative|elbow_low|wrist_negative,6.119148254394531,53.6484260559082,1095.6405029296875
19,0,shoulder_negative|elbow_low|wrist_negative,677.8677368164062,162.2218475341797,178.30641174316406
19,0,shoulder_negative|elbow_low|wrist_negative,-94.54193115234375,264.31903076171875,992.3859252929688
19,0,shoulder_negative|elbow_low|wrist_negative,-441.8128662109375,412.83892822265625,711.9498291015625
19,0,shoulder_negative|elbow_low|wrist_negative,60.96622085571289,-141.1197052001953,1097.6312255859375
19,0,shoulder_negative|elbow_low|wrist_negative,-589.3848876953125,190.2947540283203,624.7377319335938
19,0,shoulder_negative|elbow_low|wrist_negative,331.74859619140625,577.9968872070312,415.0570373535156
19,0,shoulder_negative|elbow_low|wrist_negative,-157.2589874267578,200.11705017089844,856.3275146484375
19,0,shoulder_negative|elbow_low|wrist_negative,-322.6423645019531,330.21771240234375,813.27880859375
19,0,shoulder_negative|elbow_low|wrist_negative,294.1587829589844,138.9934539794922,581.695556640625
19,0,shoulder_negative|elbow_low|wrist_negative,-325.9099426269531,555.739013671875,503.7887268066406
19,0,shoulder_negative|elbow_low|wrist_negative,-459.4244384765625,318.3912353515625,353.94635009765625
19,0,shoulder_negative|elbow_low|wrist_negative,-237.95130920410156,355.3427734375,831.085693359375
19,0,shoulder_negative|elbow_low|wrist_negative,-167.85400390625,377.44769287109375,227.3623046875
19,0,shoulder_negative|elbow_low|wrist_negative,598.9645385742188,188.61184692382812,753.2186279296875
19,0,shoulder_negative|elbow_low|wrist_negative,-282.08673095703125,397.3137512207031,248.91612243652344
19,0,shoulder_negative|elbow_low|wrist_negative,469.2953796386719,484.18304443359375,297.9820861816406
19,0,shoulder_negative|elbow_low|wrist_negative,289.9463806152344,-161.66546630859375,994.1729125976562
19,0,shoulder_negative|elbow_low|wrist_negative,43.637001037597656,-45.571224212646484,1110.0897216796875
19,0,shoulder_negative|elbow_low|wrist_negative,-662.7864379882812,133.50787353515625,453.3927001953125
19,0,shoulder_negative|elbow_low|wrist_negative,-544.094482421875,366.4927062988281,423.92620849609375
19,0,shoulder_negative|elbow_low|wrist_negative,410.8426208496094,180.7223358154297,982.6157836914062
19,0,shoulder_negative|elbow_low|wrist_negative,156.83859252929688,254.21102905273438,32.275047302246094
19,0,shoulder_negative|elbow_low|wrist_negative,243.211669921875,199.2216339111328,968.5612182617188
19,0,shoulder_negative|elbow_low|wrist_negative,-121.7368392944336,374.6402587890625,600.37646484375
19,0,shoulder_negative|elbow_low|wrist_negative,-239.1596221923828,364.8946838378906,911.8888549804688
